Notification Date,School,City,School District,Health Region,Exposure Dates,Extra Info
02/11/2021,Bear Valley School,Stewart,82,Northern Health,Feb 8,Exposure 1
02/11/2021,Central Community Elementary,Port Coquitlam,43,Fraser Health Authority,"""Jan 25, 26, 28, 29""",Exposure 3
02/11/2021,Central Community Elementary,Port Coquitlam,43,Fraser Health Authority,"""Feb 1, 2, 3""",Exposure 4
02/11/2021,Cedar Hills Elementary,Surrey,36,Fraser Health Authority,We have a letter on file that indicated a full class is isolating,Exposure 8
02/11/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,Feb 4,Exposure 7
02/11/2021,Aubrey Elementary,Burnaby,41,Fraser Health Authority,"""Feb 1, 2, 3, 4, & 8""",Exposure 2
02/11/2021,Merritt Central Elementary,Merritt,58,Interior Health Authority,"""Feb 8, 9""",Exposure 1
02/11/2021,Cedar Hills StrongStart Centre,Surrey,36,Fraser Health Authority,Feb 5,Expsoure 1
02/11/2021,Templeton Secondary,Vancouver,39,Vancouver Coastal Health,Feb 9,Exposure 4
02/11/2021,R E Mountain Secondary,Langley,35,Fraser Health Authority,"""Feb 4, 5""",Expsoure 13
02/11/2021,Sunshine Hills Elementary,Delta,37,Fraser Health Authority,Feb 8,Exposure 2
02/11/2021,Lakeview Elementary,Burnaby,41,Fraser Health Authority,Feb 3 and 4,Exposure 3
02/11/2021,Gobind Sarvar School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,Feb 4 and 5,Exposure 2
02/11/2021,Ecole Glenayre Elementary,Port Moody,43,Fraser Health Authority,Found on the BCCDC website.,Exposure 1
02/11/2021,Quilchena Elementary,Vancouver,39,Vancouver Coastal Health,"""Feb 3, 4, 5, 8, 9, 10, and 11""",Exposure 2
02/11/2021,Sa-hali Secondary,Kamloops,73,Interior Health Authority,Feb 5,Exposure 12
02/11/2021,Fraser Academy,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Feb 8 and 9 (On the BCCDC webpage),Exposure 2
02/11/2021,Thornhill Elementary,Terrace,82,Northern Health,"""Feb 2, 3""",Exposure 1
02/11/2021,Holy Cross Elementary School (Burnaby),Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,Feb 4,Exposure 2
02/11/2021,Surrey Traditional,Surrey,36,Fraser Health Authority,"""Feb 4, 5""",Exposure 6
02/11/2021,Cassie Hall Elementary,Terrace,82,Northern Health,Feb 5,Exposure 1
02/11/2021,Caledonia Secondary,Terrace,82,Northern Health,Feb 3 and 4,Exposure 7
02/10/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,Feb 5,Exposure 38
02/10/2021,Brooke Elementary,Delta,37,Fraser Health Authority,"""Feb 1, 2, and 3""",Exposure 4
02/10/2021,Chimney Hill Elementary,Surrey,36,Fraser Health Authority,"""Feb 3, 4, and 5""",Exposure 4
02/10/2021,Ecole Kwayhquitlum Middle,Port Coquitlam,43,Fraser Health Authority,"""Feb 4, 5""",Exposure 7
02/10/2021,R C Macdonald Elementary,Coquitlam,43,Fraser Health Authority,"""Feb 3, 4, 5, and 8""",Exposure 1
02/10/2021,Ladysmith Secondary School,Ladysmith,68,Vancouver Island Health Authority,Feb 5,Exposure 2
02/10/2021,Woodward Hill Elementary,Surrey,36,Fraser Health Authority,Feb 8,One full class has been asked to self-isolate
02/10/2021,Pinetree Secondary,Coquitlam,43,Fraser Health Authority,Feb 5,Exposure 5
02/10/2021,Byrne Creek Community Secondary,Burnaby,41,Fraser Health Authority,"""Feb 8, 9""",Exposure 13
02/10/2021,Guildford Park Secondary,Surrey,36,Fraser Health Authority,"""Feb 1, 4, and 5""",Exposure 16
02/10/2021,Goldstone Park Elementary,Surrey,36,Fraser Health Authority,Feb 5,Exposure 7
02/10/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,"""Feb 4, 5""",Exposure 32
02/10/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,Feb 8,Exposure 31
02/10/2021,New Westminster Secondary,New Westminster,40,Fraser Health Authority,Feb 3,Exposure 19
02/10/2021,North Delta Secondary,Delta,37,Fraser Health Authority,Feb 5,Exposure 14
02/10/2021,Seaquam Secondary,Delta,37,Fraser Health Authority,"""Feb 4, 5""",Exposure 9
02/10/2021,Sherwood Park Elementary,North Vancouver,44,Vancouver Coastal Health,"""Feb 2, 3, 4, 5""",Exposure 1
02/10/2021,St Helen's,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,"""Feb 3, 4, and 5""",Exposure 2
02/10/2021,Sa-hali Secondary,Kamloops,73,Interior Health Authority,Feb 3,Exposure 11
02/10/2021,Timothy Christian School,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,Feb 3 and 4,https://bc.ctvnews.ca/mobile/covid-19-outbreaks-declared-at-school-and-child-care-centre-in-fraser-health-region-1.5312418
02/10/2021,Hellings Elementary,Delta,37,Fraser Health Authority,"""Feb 2, 3, and 4""",One close contact has been asked to self isolate and get tested.
02/10/2021,Mountain Meadows Elementary,Port Moody,43,Fraser Health Authority,Feb 8,A full class has been asked to self-isolate (letter is on file)
02/10/2021,Lord Roberts Elementary,Vancouver,39,Vancouver Coastal Health,Feb 8,Exposure 5
02/09/2021,New Westminster Secondary,New Westminster,40,Fraser Health Authority,Feb 4 and 5,Exposure 18
02/09/2021,Alouette Elementary,Maple Ridge,42,Fraser Health Authority,Feb 4 and 5,Exposure 3
02/09/2021,W J Mouat Secondary,Abbotsford,34,Fraser Health Authority,"""Feb 1, 2, 3, 4, and 5""",Exposure 11
02/09/2021,Enver Creek Secondary,Surrey,36,Fraser Health Authority,"""Feb 2, 3, 4, and 5""",Exposure 25
02/09/2021,Semiahmoo Secondary,Surrey,36,Fraser Health Authority,"""Feb 2, 4, and 5""",Exposure 10
02/09/2021,Ecole Montgomery Middle,Coquitlam,43,Fraser Health Authority,Feb 4 and 5,Exposure 2
02/09/2021,Guildford Park Secondary,Surrey,36,Fraser Health Authority,Feb 2 and 3,Exposure 15
02/09/2021,H D Stafford Middle,Langley,35,Fraser Health Authority,"""Feb 4, 5""",Exposure 6
02/09/2021,Peace Arch Elementary,White Rock,36,Fraser Health Authority,Feb 8,Exposure 1
02/09/2021,Cariboo Hill Secondary,Burnaby,41,Fraser Health Authority,"""Feb 2, 3, 4, 5""",Exposure 6
02/09/2021,Latimer Road Elementary,Surrey,36,Fraser Health Authority,"""Feb 4, 5""",Exposure 6
02/09/2021,Kelowna Secondary School,Kelowna,23,Interior Health Authority,"""Feb 1, 2, 3, 4, 5""",Exposure 21
02/09/2021,Hollyburn Elementary,West Vancouver,45,Vancouver Coastal Health,Feb 2,Exposure 3
02/09/2021,Earl Marriott Secondary,Surrey,36,Fraser Health Authority,Feb 3,Exposure 15
02/09/2021,Upper Lynn Elementary,North Vancouver,44,Vancouver Coastal Health,"""Feb 4, 5""",Exposure 5
02/09/2021,Westview Elementary (North Vancouver),North Vancouver,44,Vancouver Coastal Health,Feb 5,Exposure 2
02/09/2021,Nanaimo District Secondary,Nanaimo,68,Vancouver Island Health Authority,Feb 5,Exposure 6
02/09/2021,Simon Cunningham Elementary,Surrey,36,Fraser Health Authority,"""Feb 1, 2""",Exposure 5
02/09/2021,Tremblay Elementary,Dawson Creek,59,Northern Health,Feb 2,Exposure 1
02/09/2021,Capitol Hill Elementary,Burnaby,41,Fraser Health Authority,Feb 1 and 2,Exposure 1
02/09/2021,Ecole Riverdale Elementary,Surrey,36,Fraser Health Authority,"""Feb 4, 5""",We have a school district letter on file that indicated a full class has been asked to self-isolate.
02/09/2021,Dr H N MacCorkindale Elementary,Vancouver,39,Vancouver Coastal Health,"""Jan 27, 28, 29, Feb 1, 2, 3, 4, and 5""",Exposure 3
02/09/2021,Martha Jane Norris Elementary,Surrey,36,Fraser Health Authority,Feb 4,Exposure 5
02/09/2021,Sikh Academy (Newton),Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Feb 2, 3, and 4""",Exposure 6
02/09/2021,Larson Elementary,North Vancouver,44,Vancouver Coastal Health,"""Feb 2, 4""",Exposure 1
02/09/2021,Brookswood Secondary,Langley,35,Fraser Health Authority,Feb 5,Exposure 6
02/09/2021,Alex Hope Elementary,Langley,35,Fraser Health Authority,Feb 5,Exposure 2
02/09/2021,Dave Kandal Elementary School,Abbotsford,34,Fraser Health Authority,Feb 1 and 2 (as per the BCCDC webpage),Exposure 6
02/08/2021,Nanaimo District Secondary,Nanaimo,68,Vancouver Island Health Authority,"""Feb 1, 2, 3, and 4""",Exposure 5
02/08/2021,Prince Rupert Middle,Prince Rupert,52,Northern Health,"""Jan 26, 27, 28, 29""",Exposure 3
02/08/2021,Princess Margaret Secondary School (Surrey),Surrey,36,Fraser Health Authority,Feb 4,Exposure 25
02/08/2021,Terry Fox Secondary,Port Coquitlam,43,Fraser Health Authority,Feb 5,Exposure 6
02/08/2021,West Vancouver Secondary,West Vancouver,45,Vancouver Coastal Health,"""Feb 2, 3, 4, 5""",Exposure 6
02/08/2021,Ecole Cedardale,West Vancouver,45,Vancouver Coastal Health,Feb 4,Exposure 4
02/08/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,"""Jan 26, 27 and Feb 1, 2, 3, 4""",Exposure 29
02/08/2021,Hellings Elementary,Delta,37,Fraser Health Authority,"""Feb 1, 2, and 3""",Exposure 9
02/08/2021,Belmont Elementary,Langley,35,Fraser Health Authority,"""Feb 4, 5""",Exposure 3
02/08/2021,Cataline Elementary,Williams Lake,27,Interior Health Authority,Feb 4,Exposure 2
02/08/2021,Diamond School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Feb 1, 2""",Exposure 5
02/08/2021,John G Diefenbaker Elementary,Richmond,38,Vancouver Coastal Health,Feb 4,Exposure 2
02/08/2021,Tsleil-Waututh Nation School,North Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,"""Feb 1, 2, and 3""",Exposure 1
02/08/2021,Ecole Glenbrook Middle School,New Westminster,40,Fraser Health Authority,"""Feb 1, 2, 3, 4, 5""",Exposure 7
02/08/2021,St John Brebeuf,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,Feb 1,Exposure 4
02/08/2021,St Edmund's,North Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,"""Feb 1, 2, 3, 4""",Expsoure 1
02/08/2021,Mountain Meadows Elementary,Port Moody,43,Fraser Health Authority,Feb 4 and 5,Exposure 1
02/08/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,"""Feb 2, 3, and 4""",The attached documentation shows that this is a different grade level than that listed for exposure 29.
02/08/2021,St John Brebeuf,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,Feb 2,Exposure 5
02/08/2021,R E Mountain Secondary,Langley,35,Fraser Health Authority,"""Feb 3, 4, and 5""",Exposure 12
02/08/2021,Walnut Grove Secondary,Langley,35,Fraser Health Authority,Feb 3 and 4,Exposure 6
02/08/2021,Westwind Elementary,Richmond,38,Vancouver Coastal Health,Jan 28 and Feb 2,Exposure 1
02/08/2021,Kwantlen Park Secondary,Surrey,36,Fraser Health Authority,"""Feb 2, 3, 4, and 5""",Exposure 12
02/08/2021,Cindrich Elementary,Surrey,36,Fraser Health Authority,"""Feb 1, 2""",Exposure 6
02/08/2021,Cindrich Elementary,Surrey,36,Fraser Health Authority,Feb 2,Exposure 7
02/08/2021,Cindrich Elementary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 5
02/08/2021,Creekside Elementary,Surrey,36,Fraser Health Authority,"""Feb 3, 4""",Exposure 4
02/08/2021,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,"""Feb 3, 4, 5""",Exposure 26
02/08/2021,Cougar Creek Elementary,Surrey,36,Fraser Health Authority,"""Jan 26, 27, 29, Feb 1, 2, and 3""",Exposure 11
02/08/2021,Conrad Street Elementary,Prince Rupert,52,Northern Health,Feb 3,Exposure 2
02/08/2021,Ecole Irvine Elementary,Port Coquitlam,43,Fraser Health Authority,"""Feb 3, 4""",Exposure 2
02/08/2021,Lena Shaw Elementary,Surrey,36,Fraser Health Authority,"""Feb 1, 2, 3, 4, 5""",9 divisions were sent a self-monitor letter. We have the letter on file.
02/08/2021,Pineridge Elementary,Prince Rupert,52,Northern Health,Feb 3,Exposure 1
02/08/2021,Admiral Seymour Elementary,Vancouver,39,Vancouver Coastal Health,"""Feb 4, 5""",Exposure 4
02/08/2021,Port Edward Elementary,Port Edward,52,Northern Health,Feb 1,Exposure 1
02/08/2021,Cedars Christian School,Prince George,Independent Schools in Northern Health,Northern Health,Feb 1,Exposure 2
02/08/2021,Semiahmoo Secondary,Surrey,36,Fraser Health Authority,Feb 3,Exposure 9
02/08/2021,Mennonite Educational Institute Elementary School,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,"""Feb 3, 4""",Exposure 4
02/08/2021,Surrey Centre Elementary,Surrey,36,Fraser Health Authority,"""Feb 2, 3, and 4""",One class has been asked to self-isolate
02/08/2021,Gabrielle-Roy,Surrey,93,Fraser Health Authority,Feb 3 (On the BCCDC webpage),Exposure 3
02/08/2021,R C Garnett Demonstration Elementary,Langley,35,Fraser Health Authority,Feb 1 (on the BCCDC webpage),Exposure 6
02/08/2021,Sentinel Secondary,West Vancouver,45,Vancouver Coastal Health,Feb 5,Exposure 5
02/08/2021,A H P Matthew Elementary,Surrey,36,Fraser Health Authority,"""Jan 26, 27, 28, 29""",Three school community members have been asked to self isolate and get tested. (Document on file)
02/08/2021,C'usqunela Elementary,Maple Ridge,42,Fraser Health Authority,"""Feb 1, 2, 3, 4, 5""",Exposure 1
02/07/2021,Enver Creek Secondary,Surrey,36,Fraser Health Authority,"""Jan 26, 27, 28, 29, Feb 1, 2, 3, and 4""",Exposure 24
02/07/2021,West Bay Elementary,West Vancouver,45,Vancouver Coastal Health,"""Feb 2, 3, 4, 5""",Exposure 2
02/07/2021,West Langley Elementary,Langley,35,Fraser Health Authority,Feb 4,Exposure 1
02/07/2021,R C Garnett Demonstration Elementary,Langley,35,Fraser Health Authority,Feb 3,Exposure 5
02/07/2021,Richard Bulpitt Elementary,Langley,35,Fraser Health Authority,Feb 3,Exposure 5
02/07/2021,Henry Hudson Elementary,Vancouver,39,Vancouver Coastal Health,"""Feb 2, 3, 4""",Exposure 1
02/07/2021,Qwam Qwum Stuwixwulh Community School,Nanaimo,68,Vancouver Island Health Authority,"""Jan 27, 28, 29""",Exposure 2
02/07/2021,Highlands Elementary,North Vancouver,44,Vancouver Coastal Health,"""Feb 2, 3""",Exposure 3
02/07/2021,Willoughby Elementary,Langley,35,Fraser Health Authority,Jan 29,Exposure 3
02/07/2021,Ecole Cedardale,West Vancouver,45,Vancouver Coastal Health,Feb 4,Exposure 3
02/07/2021,Gordon Greenwood Elementary,Langley,35,Fraser Health Authority,Feb 4,Exposure 2
02/07/2021,Kwantlen Park Secondary,Surrey,36,Fraser Health Authority,Jan 29,Exposure 11
02/07/2021,Walnut Grove Secondary,Langley,35,Fraser Health Authority,Feb 5,Exposure 5
02/07/2021,Stride Avenue Community Elementary,Burnaby,41,Fraser Health Authority,"""Feb 3, 4, 5""",Exposure 1
02/07/2021,Golden Ears Elementary,Maple Ridge,42,Fraser Health Authority,"""Feb 3, 4""",Exposure 2
02/07/2021,Qwam Qwum Stuwixwulh Community School,Nanaimo,68,Vancouver Island Health Authority,"""Feb 3, 4, 5""",Exposure 3
02/07/2021,Argyle Secondary,North Vancouver,44,Vancouver Coastal Health,"""Feb 1, 2, 3, 4, 5""",Exposure 2
02/07/2021,John MacLure Community School,Abbotsford,34,Fraser Health Authority,"""Feb 1, 2, 3, 4""",Exposure 1
02/07/2021,Bayview Elementary,Nanaimo,68,Vancouver Island Health Authority,Feb 3,Exposure 4
02/07/2021,West Vancouver Secondary,West Vancouver,45,Vancouver Coastal Health,Feb 2,Exposure 5
02/07/2021,Lord Tweedsmuir Secondary,Surrey,36,Fraser Health Authority,"""Feb 1, 2""",Exposure 17
02/07/2021,Lord Tweedsmuir Secondary,Surrey,36,Fraser Health Authority,"""Feb 3, 4, 5""",Exposure 18
02/07/2021,Central Community Elementary,Port Coquitlam,43,Fraser Health Authority,"""Feb 4, 5""",Exposure 2
02/07/2021,Simonds Elementary,Langley,35,Fraser Health Authority,Jan 28,Exposure 2
02/07/2021,Byrne Creek Community Secondary,Burnaby,41,Fraser Health Authority,"""Feb 3, 4, and 5""",Exposure 12
02/07/2021,Summerland Secondary,Summerland,67,Interior Health Authority,"""Feb 1, 2, and 3""",Exposure 3
02/07/2021,Admiral Seymour Elementary,Vancouver,39,Vancouver Coastal Health,Feb 5,Exposure 3
02/07/2021,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,"""Feb 1, 2, and 3""",Exposure 31
02/07/2021,John Barsby Secondary School,Nanaimo,68,Vancouver Island Health Authority,"""Jan 28, 29 and Feb 1""",Exposure 4
02/07/2021,St. James and St. Anns Elementary,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,Feb 1,Exposure 1
02/07/2021,Ecole Kwayhquitlum Middle,Port Coquitlam,43,Fraser Health Authority,Feb 1,Exposure 6
02/07/2021,Armstrong Elementary (Armstrong),Armstrong,83,Interior Health Authority,"""Feb 1, 2, 4, and 5""",Exposure 1
02/07/2021,Hillside Traditional Academy,Mission,75,Fraser Health Authority,Feb 2 and 4,Exposure 3
02/07/2021,Laity View Elementary,Maple Ridge,42,Fraser Health Authority,Feb 2,Exposure 1
02/07/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,Feb 3,Exposure 37
02/07/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,Feb 2 and 3,Exposure 28
02/07/2021,Valleyview Secondary,Kamloops,73,Interior Health Authority,"""Feb 1, 2, and 4""",Exposure 4
02/07/2021,Mission Central Elementary,Mission,75,Fraser Health Authority,We have the self-monitoring letter on file that has these dates listed.,Expsoure 4
02/07/2021,Panorama Park Elementary,Surrey,36,Fraser Health Authority,"""Feb 1, 2, and 3""",Exposure 7
02/07/2021,Ecole Salish Secondary,Surrey,36,Fraser Health Authority,Feb 3,Exposure 6
02/07/2021,Queen Elizabeth Secondary,Surrey,36,Fraser Health Authority,Feb 2 (Added based on the School District webpage),Exposure 28
02/07/2021,Garibaldi Highlands Elementary,Garibaldi Highlands,48,Vancouver Coastal Health,date isted on the BCCDC website,Exposure 3
02/07/2021,Southpointe Academy,Delta,Independent Schools in Fraser Health,Fraser Health Authority,Jan 31 (On the BCCDC webpage),Exposure 6
02/07/2021,University Hill Secondary,Vancouver,39,Vancouver Coastal Health,"""Feb 3, 4, and 5""",Exposure 3
02/07/2021,North Ridge Elementary (Surrey),Surrey,36,Fraser Health Authority,"""Feb 2, 3, 4, 5""",Exposure 7
02/07/2021,North Ridge Elementary (Surrey),Surrey,36,Fraser Health Authority,"""Feb 1, 2, 3""",Exposure 6
02/06/2021,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,Feb 2,Exposure 6
02/06/2021,Princess Margaret Secondary School (Surrey),Surrey,36,Fraser Health Authority,"""Feb 1, 2, and 3""",Exposure 24
02/06/2021,Yale Secondary,Abbotsford,34,Fraser Health Authority,"""Feb 2, 3""",Exposure 7
02/06/2021,L A Matheson Secondary,Surrey,36,Fraser Health Authority,Jan 29,Exposure 20
02/06/2021,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,Feb 1 and 2,Exposure 25
02/06/2021,Terry Fox Secondary,Port Coquitlam,43,Fraser Health Authority,Feb 3 and 4,Exposure 5
02/06/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,Feb 2,Exposure 36
02/06/2021,Ecole Salish Secondary,Surrey,36,Fraser Health Authority,Feb 2,Exposure 5
02/06/2021,Chilliwack Middle School,Chilliwack,33,Fraser Health Authority,Feb 1,Exposure 5
02/06/2021,Highlands Elementary,North Vancouver,44,Vancouver Coastal Health,"""Feb 2, 3""",Exposure 2
02/06/2021,Abbotsford Middle School,Abbotsford,34,Fraser Health Authority,Feb 1,Exposure 3
02/06/2021,General Gordon Elementary,Vancouver,39,Vancouver Coastal Health,Jan 28 and 29,Exposure 2
02/06/2021,Alouette Elementary,Maple Ridge,42,Fraser Health Authority,"""Feb 1, 2, 3""",Exposure 2
02/06/2021,Juniper Ridge Elementary,Kamloops,73,Interior Health Authority,"""Feb 2, 3""",Exposure 2
02/06/2021,Langley Fine Arts School,Langley,35,Fraser Health Authority,Feb 1,Exposure 1
02/06/2021,Eric Hamber Secondary,Vancouver,39,Vancouver Coastal Health,"""Feb 1, 2, 3""",Exposure 6
02/06/2021,Burnsview Secondary,Delta,37,Fraser Health Authority,"""Jan 25, 26""",Exposure 6
02/06/2021,Peachland Elementary,Peachland,23,Interior Health Authority,Jan 28,Exposure 4
02/06/2021,Timothy Christian School,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,Feb 2,Exposure 5
02/06/2021,Vernon Secondary,Vernon,22,Interior Health Authority,Feb 1,Exposure 1
02/06/2021,Abbotsford Christian School,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,"""Jan 25, 26, 27, and 28""",Exposure 8
02/06/2021,Guru Angand Dev Elementary,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,Jan 28 and Feb 1,Exposure 10
02/06/2021,Ecole Lloyd George Elementary (Kamloops),Kamloops,73,Interior Health Authority,Feb 3 and 4,Exposure 1
02/06/2021,Nanaimo District Secondary,Nanaimo,68,Vancouver Island Health Authority,"""Feb 1, 2, and 3""",Exposure 4
02/06/2021,Simon Fraser Elementary,Vancouver,39,Vancouver Coastal Health,Feb 1 and 2,Exposure 1
02/06/2021,James Park Elementary,Port Coquitlam,43,Fraser Health Authority,"""Feb 1, 2, 3, and 4 (On the BCCDC webpage)""",Exposure 2
02/06/2021,John G Diefenbaker Elementary,Richmond,38,Vancouver Coastal Health,Feb 2 and 3 (Dates on the BCCDC webpage),Exposure 1
02/06/2021,Steveston-London Secondary School,Richmond,38,Vancouver Coastal Health,Feb 1 and 3 (On the BCCDC webpage),Exposure 7
02/05/2021,Learning Alternatives (John Barsby site),Nanaimo,68,Vancouver Island Health Authority,Not provided,Exposure 1
02/05/2021,Heritage Elementary,Prince George,57,Northern Health,Jan 26,Exposure 2
02/05/2021,Summit Middle School,Coquitlam,43,Fraser Health Authority,Feb 2 (On the BCCDC webpage),Exposure 7
02/05/2021,Cindrich Elementary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 4
02/05/2021,Frost Road Elementary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 3
02/05/2021,Timothy Christian School,Chilliwack,Independent Schools in Fraser Health,Fraser Health Authority,Feb 1,Exposure 4
02/05/2021,Eagle Mountain Middle School,Anmore,43,Fraser Health Authority,"""Feb 1, 2, and 3""",Exposure 2
02/05/2021,Richard Bulpitt Elementary,Langley,35,Fraser Health Authority,Jan 29,Exposure 4
02/05/2021,Heritage Woods Secondary,Port Moody,43,Fraser Health Authority,"""Jan 29, Feb 2 and 3""",Exposure 6
02/05/2021,Surrey Traditional,Surrey,36,Fraser Health Authority,Feb 1,Exposure 5
02/05/2021,Rick Hansen Secondary,Abbotsford,34,Fraser Health Authority,Feb 2 and 3,Exposure 16
02/05/2021,Nanaimo District Secondary,Nanaimo,68,Vancouver Island Health Authority,"""Jan 27, 28, Feb 1 and 2""",Exposure 3
02/05/2021,Stelly's Secondary,Saanichton,63,Vancouver Island Health Authority,Feb 1,Exposure 1
02/05/2021,Cedar Hills Elementary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 7
02/05/2021,Khalsa Elementary School Newton,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,Feb 1,Exposure 16
02/05/2021,Centennial Christian School,Terrace,Independent Schools in Northern Health,Northern Health,"""Jan 27, 28, and 29""",Exposure 7
02/05/2021,Hollyburn Elementary,West Vancouver,45,Vancouver Coastal Health,"""Feb 1, 2""",Exposure 2
02/05/2021,Duncan Cran Elementary,,60,Northern Health,Jan 28 and 29,Exposure 1
02/05/2021,Chilliwack Secondary,Chilliwack,33,Fraser Health Authority,Feb 1 and 2,Exposure 16
02/05/2021,Parkside Centennial Elementary (Langley),Langley,35,Fraser Health Authority,Jan 29,Exposure 3
02/05/2021,Sa-hali Secondary,Kamloops,73,Interior Health Authority,Jan 28 and 29,"""Note: The notification states, 'Members' plural; however we do not have any documentation showing the number so have listed this as one exposure until we receive documentation showing numbers."""
02/04/2021,F G Leary Fine Arts Elementary,Chilliwack,33,Fraser Health Authority,"""Jan 25, 26, 27, 28, and 29""",Exposure 1
02/04/2021,Hellings Elementary,Delta,37,Fraser Health Authority,Jan 25 and 27,Exposure 8
02/04/2021,Rock City Elementary,Nanaimo,68,Vancouver Island Health Authority,"""Jan 26, 27, 28, and 29""",This is being considered a cluster
02/04/2021,South Meridian Elementary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 5
02/04/2021,Rockridge Secondary,West Vancouver,45,Vancouver Coastal Health,"""Jan 27, 28""",Exposure 3
02/04/2021,Kelly Road/Shas ti Secondary,Prince George,57,Northern Health,Jan 28 and 29,Exposure 4
02/04/2021,Nanaimo District Secondary,Nanaimo,68,Vancouver Island Health Authority,Jan 28,Exposure 2
02/04/2021,Rock City Elementary,Nanaimo,68,Vancouver Island Health Authority,"""Jan 26, 27, 28 and Feb 1""",Exposure 4
02/04/2021,Summerland Secondary,Summerland,67,Interior Health Authority,"""Jan 25, 27, 28 and Feb 1 and 2""",Exposure 2
02/04/2021,Whistler Secondary,Whistler,48,Vancouver Coastal Health,Not provided,Exposure 5
02/04/2021,École Dr. Knox Middle School,Kelowna,23,Interior Health Authority,Feb 1,Exposure 5
02/04/2021,Richard Bulpitt Elementary,Langley,35,Fraser Health Authority,"""Feb 1, 2""",Exposure 3
02/04/2021,White Rock Christian Academy,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,Feb 1,Exposure 2
02/04/2021,David Thompson Elementary,Kamloops,73,Interior Health Authority,"""Feb 1, 2""",Exposure 1
02/04/2021,West Vancouver Secondary,West Vancouver,45,Vancouver Coastal Health,"""Jan 25, 26, 27""",Exposure 4
02/04/2021,Ecole Salish Secondary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 4
02/04/2021,Enver Creek Secondary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 23
02/04/2021,Hampton Park Elementary,Coquitlam,43,Fraser Health Authority,"""Jan 27, 28, and 29""",Exposure 1
02/04/2021,Brechin Elementary,Nanaimo,68,Vancouver Island Health Authority,Feb 1 (On the BCCDC webpage),Exposure 1
02/04/2021,A.R. MacNeill Secondary,Richmond,38,Vancouver Coastal Health,Listed on the BCCDC website,Exposure 4
02/04/2021,Handsworth Secondary,North Vancouver,44,Vancouver Coastal Health,Jan 28 & Feb 1,Exposure 5
02/03/2021,Iqra School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Jan 22, 27, 28, and 29""",Exposure 5
02/03/2021,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,Jan 29,Exposure 30
02/03/2021,Centennial Secondary School,Coquitlam,43,Fraser Health Authority,Jan 29,Exposure 8
02/03/2021,Fraser Wood Elementary,Surrey,36,Fraser Health Authority,Jan 28 and 29,Exposure 2
02/03/2021,Ecole Salish Secondary,Surrey,36,Fraser Health Authority,Jan 27,Exposure 3
02/03/2021,Aberdeen Hall Preparatory School (Junior School),Kelowna,Independent Schools in Interior Health,Interior Health Authority,Jan 28 and 29,Exposure 5
02/03/2021,Mission Central Elementary,Mission,75,Fraser Health Authority,Jan 28 and 29,Exposure 3
02/03/2021,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,Feb 1,Exposure 35
02/03/2021,Brooksbank Elementary,North Vancouver,44,Vancouver Coastal Health,Not provided,Exposure 4
